YearMonth,Last Updated,Business Segment,Company,Responsible Person,Risk
1986,22.07.2020,Mid size,Jaxbean,Rozele Oneile,High
2003,18.08.2020,Corporate,Shuffledrive,Aggi Chelnam,High
1999,06.09.2020,Corporate,Mita,Angus Gladyer,Low
2012,13.11.2020,Corporate,Dynazzy,Ragnar Botright,Medium
1994,22.04.2020,Corporate,Snaptags,Annette Wasielewski,High
1991,21.11.2020,Mid size,Blogtags,Kalinda Sherewood,Low
2010,19.07.2020,Startup,Flipstorm,Chanda Semechik,High
2010,05.04.2020,Mid size,Tanoodle,Lynne Yong,High
1995,19.11.2020,Startup,Fatz,Almire Middlewick,High
2001,10.07.2020,Startup,Rhynoodle,Etta Danford,High
2008,10.11.2020,Startup,Thoughtbridge,Shirley Patington,Low
2003,12.03.2020,Corporate,Divavu,Eleonora Bamell,High
2001,01.07.2020,Mid size,Avavee,Bradford McMullen,High
2000,26.11.2020,Startup,Quimm,Garrik Lunge,Low
1957,30.08.2020,Corporate,Topiclounge,Raina Ridgedell,Medium
1997,13.07.2020,Corporate,Agivu,Tadd Amberson,Medium
1992,04.04.2020,Corporate,Yotz,Fionna Gatus,Low
1997,31.10.2020,Corporate,Flashset,Halsy Broseman,Low
2000,22.08.2020,Mid size,Teklist,Donnell Mackerness,Low
2002,01.09.2020,Corporate,Dabtype,Yvonne Pollok,Medium
2004,23.03.2020,Startup,Leexo,Shayne Euels,High
2002,30.10.2020,Mid size,Jayo,Augy Penfold,High
2012,11.04.2020,Startup,Feedfire,Marcelline Walles,High
1985,16.04.2020,Mid size,Dynava,Lishe Episcopio,High
2002,29.07.2020,Mid size,Flashspan,Paquito Harcombe,Medium
2009,24.07.2020,Mid size,Livepath,Dasya De Ruggero,Medium
2006,15.08.2020,Corporate,Dabfeed,Nikita Blasi,Medium
2007,10.08.2020,Mid size,Yodoo,Judd Marquez,High
2004,05.08.2020,Startup,Mynte,Syd Scorey,High
1993,01.10.2020,Mid size,Twimm,Allis Josupeit,High
2009,15.06.2020,Startup,Skyba,Emmanuel Brownsall,Medium
1998,04.07.2020,Startup,Twitterbeat,Lark Ivankovic,High
1993,25.11.2020,Startup,Geba,Correy Euston,Low
1994,06.06.2020,Corporate,BlogXS,Jennica Mingey,High
2005,03.08.2020,Mid size,Jaxbean,Ethel Pretti,High
2009,31.07.2020,Corporate,Gabspot,Hendrick Cranmore,Low
1993,12.08.2020,Corporate,Twitterbeat,Garry Gofton,High
1999,23.10.2020,Startup,Yodo,Hettie Trill,High
1998,22.04.2020,Startup,Cogibox,Randene Gocke,Medium
2000,06.03.2020,Corporate,Kamba,Amye Keysall,Low
2002,28.03.2020,Mid size,Riffwire,Mycah Trinbey,High
1991,03.04.2020,Startup,Zoonoodle,Sloan Zoane,Low
2000,20.03.2020,Startup,Gabtune,Sadella Lucy,High
2002,17.04.2020,Mid size,Edgeify,Edee Reary,High
1999,16.04.2020,Corporate,Dabvine,Alfonse Smallshaw,Low
1983,26.11.2020,Corporate,Trilith,Craggy Brittles,High
1994,18.07.2020,Mid size,Vitz,Page Handscombe,Medium
1998,20.03.2020,Startup,Buzzbean,Vivyan Kummerlowe,Low
1994,18.07.2020,Mid size,Thoughtworks,Almeta Yitzhakov,Medium
2001,29.11.2020,Corporate,Kimia,Sib Polotti,Low
2012,03.06.2020,Startup,Minyx,Merv Sollon,High
2010,17.03.2020,Corporate,Buzzshare,Tommy Berthouloume,High
2010,21.04.2020,Mid size,InnoZ,Boyce Adenet,High
2011,07.10.2020,Mid size,Gigazoom,Ekaterina Enoch,Low
1998,09.06.2020,Startup,Wordtune,Corena Richings,High
1999,27.08.2020,Corporate,Cogilith,Felice More,High
1995,05.05.2020,Startup,Demimbu,Carie Toseland,Medium
2007,22.08.2020,Startup,Tanoodle,Wynn World,Medium
1993,05.09.2020,Corporate,Skajo,Leila Byrnes,High
2010,14.07.2020,Mid size,Rhybox,Darcy Pusey,Low
1993,20.04.2020,Startup,Voomm,Shelley Scolli,Low
1996,11.09.2020,Startup,Voomm,Pavia Perrelli,Low
1993,08.10.2020,Startup,Dynabox,Jolyn Bernat,Medium
2002,13.08.2020,Corporate,Voonte,Jaquenetta Giraudoux,Low
2001,20.08.2020,Startup,Demizz,Randell Cornils,Low
1993,20.03.2020,Corporate,Bluejam,Mala Heersema,Low
2002,19.08.2020,Corporate,Eire,Jacintha Prowting,High
1997,09.04.2020,Corporate,Chatterbridge,Leia Seger,High
1987,19.10.2020,Startup,Dynabox,Melita Revans,Low
2008,14.04.2020,Corporate,Meezzy,Alfie Hegdonne,Low
2012,20.05.2020,Corporate,Vimbo,Clem Aleveque,Low
1985,03.03.2020,Mid size,Ailane,Frederica MacAlees,Low
2007,26.07.2020,Mid size,Vinte,Selestina Blake,Low
2001,30.11.2020,Corporate,Gabspot,Seamus Beedie,Low
2011,24.10.2020,Mid size,Twitterbridge,Wolfy Mayger,High
1993,27.09.2020,Corporate,Lazz,Yvette Drescher,Medium
2009,05.06.2020,Corporate,Demizz,Sharron Tink,High
2004,17.06.2020,Corporate,Ainyx,Gwendolyn Ettles,Low
1998,24.05.2020,Corporate,Izio,Ty Trewett,Medium
1999,04.05.2020,Corporate,Trilia,Rubetta Dunklee,Medium
2012,11.04.2020,Mid size,Centidel,Catharine Whitfield,Low
1999,01.04.2020,Startup,Quamba,Sharleen Swatland,Medium
2001,27.06.2020,Corporate,Livepath,Dorine Trembey,Low
2009,16.08.2020,Corporate,Zoomdog,Bondon Dyer,Low
1984,08.04.2020,Startup,Wikibox,Carmine Stenyng,Low
1992,14.07.2020,Startup,Avavee,Gabriel Suller,Low
2005,13.08.2020,Corporate,Tagpad,Else Rosenbloom,Low
1991,08.07.2020,Startup,Oyonder,Jule Isgar,Medium
1976,02.08.2020,Startup,Ailane,Diena Fonte,Medium
2002,23.05.2020,Startup,Livefish,August Tichner,High
2008,16.10.2020,Startup,Vitz,Patrice Drei,Low
2007,11.03.2020,Mid size,Riffpedia,Noland Cockarill,Medium
2006,05.03.2020,Startup,Wordpedia,Kearney Jozwik,High
1999,14.11.2020,Mid size,Livefish,Tristan Jellyman,Medium
2004,30.07.2020,Mid size,Pixoboo,Parry Tilley,Medium
2001,08.04.2020,Corporate,Riffpath,Lari Boud,Medium
2007,25.10.2020,Startup,Flipstorm,Cary Sidaway,High
1993,11.04.2020,Corporate,Reallinks,Evelina Cantrill,Medium
1993,17.03.2020,Mid size,Zoomcast,Karry Byron,Medium
2001,24.08.2020,Startup,Skynoodle,Malva Fairchild,High
1992,30.03.2020,Mid size,Pixoboo,Reine Walewicz,Medium
2011,07.07.2020,Mid size,Dynava,Dulcea Rogerson,Low
2000,20.06.2020,Corporate,Photolist,Goddart Metschke,Medium
2012,16.05.2020,Startup,Tagchat,Daryl Morden,Low
1995,18.09.2020,Corporate,Bubbletube,Dre Beat,Low
2002,23.05.2020,Corporate,DabZ,Frederica Purkiss,Low
1989,19.04.2020,Corporate,Twitterworks,Konstantine Zannetti,Medium
2007,23.10.2020,Mid size,Tagopia,Sallie Hammond,High
1965,16.03.2020,Startup,Feednation,Morrie Farrans,Low
2006,24.06.2020,Mid size,Realmix,Vivia Caldayrou,High
1999,01.09.2020,Corporate,Zoonder,Selie Bowdery,High
1997,30.09.2020,Corporate,Vipe,Georgina Batiste,High
1999,26.11.2020,Mid size,Feedfire,Ninette Stucksbury,Medium
2010,26.07.2020,Startup,Feednation,Adelaida Heelis,High
2008,10.09.2020,Corporate,Youopia,Meggy Ramplee,Low
1995,02.09.2020,Startup,Meetz,Hasheem Meach,Low
2011,06.07.2020,Mid size,Linktype,Melodee Ruddock,High
1996,11.10.2020,Corporate,Oba,Rosita Crossgrove,High
2010,09.08.2020,Mid size,Blognation,Earl Olivas,Medium
1989,03.07.2020,Corporate,Yakitri,Hannis Golden of Ireland,Medium
2010,27.10.2020,Corporate,Podcat,Paolina Arney,Medium
2004,26.10.2020,Corporate,Eidel,Itch Sarfat,Low
1993,25.06.2020,Corporate,Cogibox,Theresina Palphramand,Low
1992,13.06.2020,Mid size,Edgeclub,Irwinn Burless,High
1992,20.05.2020,Corporate,Blogtag,Renato Stambridge,Medium
1995,02.04.2020,Corporate,Mudo,Donaugh Breakspear,Medium
1995,21.08.2020,Corporate,Gigashots,Brita Dooler,Medium
2007,15.08.2020,Startup,Tagcat,Connie Klemencic,Medium
1998,24.07.2020,Corporate,Jaxnation,Bendix Fearneley,Medium
2000,08.05.2020,Mid size,Centidel,Archibold Bouda,Medium
1998,12.09.2020,Mid size,Bubblebox,Sonnie Embra,High
2002,06.07.2020,Corporate,Shufflester,Margret Viccars,Medium
1996,20.06.2020,Corporate,Youtags,Yettie Woolrich,Low
2010,13.08.2020,Corporate,Jayo,Zared Treadger,Medium
2008,20.10.2020,Startup,Jabberbean,Marleen Ebbitt,High
2011,29.11.2020,Startup,Zazio,Fraze Dumphries,Low
2008,04.10.2020,Startup,Flashpoint,Benoit Trevan,Low
2005,25.06.2020,Corporate,Podcat,Dniren Ungerechts,Low
1992,23.09.2020,Corporate,Vinder,Felisha Lydiate,Low
1995,11.03.2020,Startup,Vidoo,Yettie Filippyev,Low
2003,19.09.2020,Mid size,Thoughtsphere,Obidiah Tunnadine,Medium
2002,11.06.2020,Corporate,Browsetype,Deny Coppens,High
2005,22.08.2020,Mid size,Kwinu,Marcos Lumbly,Medium
2002,20.03.2020,Startup,Skiptube,Robby Roberti,Medium
1986,05.04.2020,Corporate,Jayo,Nolan McCague,Medium
2003,07.10.2020,Corporate,Dabtype,Yolanthe Malecky,High
2005,07.09.2020,Startup,Jaxnation,Nicolais Stoney,Medium
2001,14.09.2020,Startup,Lazzy,Heall Corssen,High
2012,07.09.2020,Corporate,Meembee,Regina Zold,Medium
2005,02.11.2020,Startup,Bubblemix,Norrie Chartman,Low
2003,28.11.2020,Mid size,Meejo,Veronique Grummitt,High
1995,21.08.2020,Corporate,Yata,Sally Klulik,Medium
2009,04.11.2020,Mid size,Latz,Rasia Dougal,Low
2000,28.05.2020,Corporate,Dazzlesphere,Denny Musla,Medium
2003,26.08.2020,Mid size,Topicstorm,Rowena Taffie,Medium
2006,30.05.2020,Mid size,Wordware,Tamqrah Mullane,Medium
2004,08.03.2020,Startup,Centidel,Auberon Lippitt,Medium
1998,17.04.2020,Startup,Quinu,Amandie Handley,Low
2009,15.05.2020,Startup,Brightdog,Celine Braunle,Medium
2010,10.07.2020,Startup,Youfeed,Ervin Canti,High
1990,12.10.2020,Corporate,Plambee,Elle Berthot,High
2011,25.03.2020,Corporate,Livetube,Gray Martynikhin,Low
2008,16.06.2020,Startup,Wordtune,Shirleen Stonhouse,Medium
2002,30.05.2020,Mid size,Skippad,Abba Estevez,High
1996,09.10.2020,Startup,Realfire,Cristin Dolligon,Medium
2009,30.08.2020,Corporate,Innotype,Goran Yersin,Medium
1955,26.06.2020,Startup,Buzzbean,Livvy Hazelden,High
1999,09.10.2020,Startup,Mydeo,Hakeem Oldroyde,Medium
2002,02.10.2020,Startup,Zoombeat,Artie Stennings,Low
2006,26.09.2020,Mid size,Quatz,Germain Selwood,Medium
2011,04.10.2020,Corporate,Buzzshare,Clo Cicchelli,Low
2007,05.09.2020,Mid size,Eayo,Orazio Roughsedge,Low
1998,11.03.2020,Mid size,Abata,Witty Metschke,Low
2013,15.04.2020,Corporate,Topicstorm,Gawain Kenway,High
2011,13.04.2020,Mid size,Topicware,Alva Bernth,Low
2001,07.05.2020,Mid size,Kare,Morganica Kerans,Medium
1997,29.08.2020,Mid size,Brightbean,Ofelia Labin,Medium
2009,04.10.2020,Corporate,Roomm,Yorgos Aubin,Medium
1993,11.06.2020,Startup,Gabspot,Lazare O'Loughlin,Low
2007,08.10.2020,Corporate,Einti,Murdock Klee,High
2008,27.05.2020,Mid size,Browsebug,Aubine Pointon,Low
2009,31.08.2020,Mid size,Lazzy,Natalina Sercombe,High
2001,18.05.2020,Corporate,Edgepulse,Nikolia Hazelhurst,Low
1994,15.06.2020,Startup,Yakitri,Mersey Sheppey,Medium
2008,03.07.2020,Mid size,Gabvine,Blane Layus,Medium
2000,16.05.2020,Mid size,Wikivu,Shayla MacCartney,High
2000,29.03.2020,Mid size,Aimbo,Sibyl Churching,Medium
2008,12.11.2020,Mid size,Feedbug,Germaine Camilli,High
1993,28.05.2020,Startup,Zoomlounge,Gilda Ferronel,High
2011,28.08.2020,Mid size,Layo,Hanni Tiley,Low
2009,06.06.2020,Corporate,Ailane,Rupert Ivakhno,High
1995,20.11.2020,Mid size,Wordpedia,Adolphe Gozzard,Low
1995,04.09.2020,Startup,Kare,Giustino Hodge,Medium
1995,19.08.2020,Corporate,Midel,Dom Fairest,Medium
1997,28.08.2020,Corporate,Realcube,Ezmeralda Goudge,High
1994,27.07.2020,Corporate,Gigaclub,Kit Bridges,Low
2010,25.10.2020,Corporate,Skiptube,Noe Jesse,Medium
1998,20.04.2020,Mid size,Aibox,Gayelord Ratt,High
1992,04.08.2020,Startup,Vipe,Israel Vale,High
1997,05.09.2020,Startup,Devify,Eileen Koppelmann,Medium
2008,09.06.2020,Mid size,Agimba,Emmaline Melbert,Low
2008,05.10.2020,Corporate,Teklist,Kerwinn Runcieman,Low
2000,05.07.2020,Corporate,Mydeo,Thedrick Smeuin,High
2006,01.09.2020,Corporate,Skimia,Jarrod Kuhle,High
2008,07.09.2020,Startup,Skyba,Kory Salmons,High
2006,17.10.2020,Mid size,Livetube,Teddie Martindale,Low
2000,22.09.2020,Mid size,Trupe,Sander Lingwood,High
1997,22.08.2020,Corporate,Abata,Phaidra Mewha,Medium
2001,20.04.2020,Corporate,Digitube,Syd Roger,Low
2004,09.11.2020,Corporate,DabZ,Dacy Johl,High
1995,21.03.2020,Corporate,Thoughtbridge,Aleta Farey,Medium
2007,15.10.2020,Startup,Tanoodle,Antone Amoss,Medium
2000,13.06.2020,Mid size,Meezzy,Harriett Treeby,Medium
1994,27.09.2020,Corporate,Dynava,Buddie Leander,Low
2008,06.11.2020,Mid size,Trupe,Hephzibah Frohock,Medium
1985,13.07.2020,Startup,Demivee,Ailee Humberstone,Low
2013,01.09.2020,Startup,Yambee,Elysia Stoak,High
2003,22.09.2020,Corporate,Ailane,Gerek Phippard,High
1993,24.08.2020,Corporate,Podcat,Zabrina Harburtson,High
2012,09.11.2020,Corporate,Jabbercube,Esta Snalham,Low
2003,21.04.2020,Startup,Wikido,Shayne Have,High
2000,07.11.2020,Mid size,Wordtune,Noelyn Espy,Medium
1993,30.08.2020,Corporate,Rhycero,Rosabelle Rozea,Low
2005,08.04.2020,Corporate,Riffpath,Randi Fevers,High
2012,03.10.2020,Mid size,Realbuzz,Jacquette Grocock,High
1992,27.09.2020,Mid size,Brainlounge,Sisely Klammt,Medium
2012,30.06.2020,Mid size,Babbleblab,Brandyn Greenig,Medium
2010,02.05.2020,Startup,Youspan,Patience Lerner,Medium
1999,10.06.2020,Mid size,Roombo,Querida Leathwood,Low
2008,11.07.2020,Corporate,Pixoboo,Farrell Hoodspeth,Low
1992,12.03.2020,Corporate,Leexo,Colman Moberley,Medium
2000,15.06.2020,Corporate,Dynazzy,Agnola Eddisforth,Medium
1995,21.08.2020,Mid size,Camido,Fabio Bansal,High
1995,24.07.2020,Startup,Dynabox,Zenia Benkhe,High
2011,24.03.2020,Startup,Zooxo,Mallory Craydon,Medium
2004,30.05.2020,Mid size,Skippad,Goldi Braemer,Low
1997,24.09.2020,Mid size,Gabtune,Perkin Harme,Low
1990,19.06.2020,Startup,Fadeo,Erv Anyene,Low
2001,08.06.2020,Mid size,Feedbug,Lloyd Bumphries,Medium
1998,10.08.2020,Startup,Tavu,Cassius Balaison,Low
2004,18.04.2020,Startup,Yombu,Dino Vasilechko,High
1988,19.05.2020,Mid size,Skynoodle,Pierre Gouck,High
1999,20.09.2020,Startup,Eazzy,Hollie Outibridge,Low
2003,13.08.2020,Mid size,Quatz,Merrick Benyan,High
1998,05.09.2020,Mid size,Jaxworks,Breena Ferron,Low
1994,07.06.2020,Corporate,Eimbee,Jobie Brann,High
1993,06.11.2020,Mid size,Devcast,Decca Kohring,Medium
2012,26.09.2020,Corporate,Voonix,Laurianne Illsley,High
2005,13.09.2020,Mid size,Fadeo,Nydia MattiCCI,Medium
2006,14.04.2020,Startup,Lazzy,Nikki Eger,Low
2009,11.03.2020,Mid size,Skinte,Rena Soppett,High
1995,19.03.2020,Corporate,Fivebridge,Claudelle Abbett,High
1993,17.04.2020,Corporate,Topicshots,Tiffie Fidgeon,Low
1996,13.10.2020,Mid size,Eazzy,Bruno Morphey,Medium
1992,09.06.2020,Corporate,Skalith,Fredelia Sheaber,Low
2001,08.10.2020,Startup,Leexo,Daphna Enser,Medium
2005,27.04.2020,Startup,Devcast,Udale Barnewall,Medium
1996,18.05.2020,Startup,Dynava,Darius Speer,Medium
1992,08.07.2020,Startup,Gabspot,Dukey Cargon,High
1986,18.03.2020,Startup,Trunyx,Stephanie Chetwind,Medium
1994,24.08.2020,Mid size,LiveZ,Alvie Pitchford,High
2006,13.04.2020,Mid size,Oyoloo,Eran Parram,Medium
1991,02.07.2020,Startup,Kayveo,Nollie Roney,High
2003,01.05.2020,Mid size,Vinte,Maxim Krysztofiak,High
1995,13.07.2020,Mid size,Kaymbo,Arabela Manby,Medium
1993,13.08.2020,Corporate,Zava,Madelena Discombe,High
2006,17.06.2020,Mid size,Dynabox,Gipsy Werrett,Medium
1993,13.10.2020,Corporate,Quimba,Ashlin Haydney,Low
2010,28.03.2020,Corporate,Rhynyx,Susie Bacchus,High
1986,07.05.2020,Corporate,Meevee,Lennie Pigney,Low
1989,07.07.2020,Corporate,Viva,Hersch Ferran,Medium
2008,18.06.2020,Corporate,Babbleset,Frederick Santry,Low
2003,08.04.2020,Mid size,Yata,Gillan de Mullett,Medium
1999,30.04.2020,Startup,Feedmix,Beryl Broxis,Low
1994,06.03.2020,Corporate,Ntags,Kyla Leivers,High
1991,16.04.2020,Startup,Twitternation,Palm Marrion,Medium
1978,07.10.2020,Mid size,Mita,Albie Peters,Medium
2012,11.04.2020,Startup,Wikizz,Ronny O'Hagerty,Medium
1994,10.09.2020,Startup,Bluezoom,Timothy Ditter,Low
2013,19.06.2020,Startup,Rhynoodle,Beryl de Courcey,Low
2011,13.07.2020,Mid size,Omba,Alfonso Malimoe,Low
1997,05.09.2020,Startup,Skibox,Idell Sculpher,Low
1994,26.07.2020,Startup,Realcube,Nickolas O'Kynsillaghe,High
1997,12.05.2020,Startup,Yakidoo,Hodge Keedwell,High
1987,20.07.2020,Corporate,Meejo,Sherline Abelovitz,High
2004,17.06.2020,Startup,Oyoloo,Bail Housiaux,High
1994,31.10.2020,Corporate,Quamba,Yehudi Knutton,Low
1998,08.10.2020,Mid size,Tagpad,Abraham Ratnege,High
2012,11.08.2020,Mid size,Kayveo,Nestor Loutheane,High
1993,18.11.2020,Startup,Blogtag,Filbert Kulicke,Medium
2011,22.06.2020,Startup,Miboo,Terry Bloore,High
2011,02.10.2020,Mid size,Centizu,Waylin Hellicar,High
1993,12.05.2020,Corporate,Kayveo,Belva Fathers,Medium
2012,28.05.2020,Corporate,Twitterwire,Win Stute,Low
2007,03.11.2020,Startup,Mycat,Anissa Matelyunas,High
2001,20.08.2020,Corporate,Myworks,Jodi Ewell,Low
2002,24.04.2020,Corporate,Gabspot,Ashia Sauvan,Low
1994,21.10.2020,Corporate,Edgeify,Miranda Baumaier,High
1996,16.05.2020,Corporate,Linkbuzz,Estell Wearn,High
2011,27.10.2020,Mid size,Blogtags,Arny Chinge de Hals,Medium
2002,22.09.2020,Mid size,Chatterbridge,Sharlene Douglass,High
2008,12.10.2020,Startup,Gabvine,Virginie Tilston,High
1993,25.08.2020,Startup,Blogtag,Quincy Bosomworth,Low
1986,22.07.2020,Corporate,Feedbug,Batholomew Ferenc,High
2003,15.03.2020,Corporate,Tagcat,Hermon Mapis,Low
2000,20.03.2020,Mid size,Photospace,Sheilah Doumer,Medium
2011,05.04.2020,Corporate,Quatz,Bernhard Trahar,High
2007,31.05.2020,Startup,Tagchat,Sharleen Lloyd,High
2012,30.08.2020,Mid size,Blogtags,Lula Everitt,High
2004,04.05.2020,Mid size,Thoughtbeat,Neron Lindwall,Medium
2002,27.06.2020,Startup,Cogilith,Rudiger Titman,Medium
2003,11.11.2020,Mid size,Twitternation,Maribel Barringer,Low
1991,19.07.2020,Mid size,Agivu,Gerrilee Bestall,Medium
2011,17.08.2020,Mid size,Minyx,Nariko Whitford,High
1989,20.05.2020,Corporate,Riffwire,Minni Davidesco,High
1999,02.11.2020,Startup,Skynoodle,Marney Brockman,High
2011,20.10.2020,Startup,Talane,Clerc Klamman,High
1992,06.08.2020,Corporate,Demimbu,Carmon Manginot,High
2012,06.03.2020,Corporate,Oyope,Candra Luckwell,Low
2004,23.10.2020,Corporate,Youspan,Von Rohlfing,High
1996,01.07.2020,Mid size,Buzzster,Bessy Dunican,High
2010,02.10.2020,Startup,Shuffletag,Sharline Pittwood,High
2011,18.08.2020,Corporate,Mydo,Ardenia Carlow,Low
1994,22.11.2020,Corporate,Agivu,Adiana Bromehead,Low
1994,05.11.2020,Mid size,Pixope,Kattie McNeish,Medium
1992,26.09.2020,Corporate,Blogtags,Quint Slopier,High
2006,17.09.2020,Mid size,Realfire,Nickolas Butterwick,High
2005,24.04.2020,Startup,Photojam,Cross Crate,Medium
2006,29.04.2020,Mid size,Voomm,Niven Marco,Low
1983,22.04.2020,Corporate,Linkbuzz,Charissa Bristoe,High
2001,29.03.2020,Corporate,Quamba,Bernardo Melarkey,Medium
2012,11.06.2020,Mid size,Edgeify,Ernesto Lloyds,Medium
2002,29.03.2020,Corporate,Topicware,Ortensia Conan,High
1984,21.05.2020,Corporate,Aimbu,Terry Skyrme,High
1987,06.11.2020,Startup,Dabvine,Brynne Nani,High
1995,13.10.2020,Mid size,Dynabox,Giuseppe Tunna,High
2008,20.05.2020,Corporate,Edgewire,Davon Alibone,Medium
1989,25.09.2020,Corporate,Jayo,Fae Bortoli,High
1991,29.06.2020,Corporate,Izio,Rip Kitchinghan,High
2008,18.08.2020,Mid size,Bluezoom,Catherin Shills,High
2004,17.04.2020,Mid size,Divape,Salim Dinse,Low
2004,03.08.2020,Corporate,Feedfire,Laurice Spratt,Low
2002,24.03.2020,Mid size,Feedspan,Maryellen Etherington,Low
2003,10.07.2020,Mid size,Wikibox,Torey Pepper,Low
2003,20.07.2020,Corporate,Dazzlesphere,Simeon Drynan,Medium
1996,24.07.2020,Mid size,Buzzbean,Margret Vittle,Low
2000,29.07.2020,Mid size,Rhynoodle,Brendan Pittaway,Medium
2007,26.04.2020,Mid size,Eabox,Ferdy Hildrew,Medium
1997,10.05.2020,Mid size,Pixoboo,Afton Howselee,Medium
1992,18.09.2020,Startup,Devcast,Alysa Matz,Low
1992,09.09.2020,Mid size,Fatz,Ariela Bollon,Medium
2003,01.08.2020,Corporate,Mycat,Bartolomeo Rusbridge,Low
2000,06.05.2020,Startup,Brainbox,Enid Godin,Low
2000,26.08.2020,Mid size,Quimm,Kristofer Oubridge,Low
2011,25.03.2020,Corporate,Flashset,Atlante Fivey,Medium
2010,08.07.2020,Corporate,Zooxo,Philis Marshallsay,High
2003,30.07.2020,Startup,Chatterbridge,Lacie Deeming,High
2006,05.10.2020,Startup,Thoughtbeat,Antonella Cotterel,Medium
2009,21.04.2020,Startup,Vitz,Agnola Leverton,Low
2004,20.03.2020,Corporate,Abatz,Shay Virgo,Low
2009,27.06.2020,Startup,Oozz,Jordan Denerley,Low
2002,27.09.2020,Startup,Yakidoo,Cassey Boarer,Medium
1998,16.05.2020,Corporate,BlogXS,Ursa Cooling,Medium
2000,04.10.2020,Mid size,Browseblab,Leeland Kenrack,High
2002,24.03.2020,Startup,Kare,Seymour Glanfield,High
1993,11.03.2020,Corporate,Thoughtstorm,Trixie Di Lucia,High
1994,19.11.2020,Startup,Mynte,Dalt Reimer,Medium
2002,22.11.2020,Startup,Voomm,Heindrick Devitt,High
1987,13.03.2020,Mid size,Vimbo,Stephen Darbey,Medium
2001,25.05.2020,Mid size,Kayveo,Giselbert Benech,Medium
1986,10.08.2020,Startup,Zooveo,Jackelyn Saltern,Low
2011,10.11.2020,Startup,Blogtag,Bibbie Brum,Low
1962,22.09.2020,Startup,Mynte,Sterne Marklow,High
2012,11.06.2020,Startup,Ainyx,Gayle Schwandner,Medium
2010,12.11.2020,Corporate,Dynabox,Karel Samwell,Medium
1995,26.04.2020,Startup,Wikivu,Hedvige Ochiltree,Medium
2006,30.06.2020,Corporate,Linklinks,Hoebart Siggery,Low
2011,05.03.2020,Startup,Jaloo,Mollie Likely,Medium
2006,21.11.2020,Mid size,Buzzster,Roy Popworth,Medium
1994,30.10.2020,Corporate,Flashdog,Tiffani Fryer,Medium
2010,31.03.2020,Startup,Edgetag,Marillin Kristufek,Low
2001,11.06.2020,Mid size,Eidel,Zachariah McLoney,Medium
2012,11.11.2020,Mid size,Photojam,Cleopatra Gould,Medium
2001,10.07.2020,Startup,Einti,Alastair Poure,Low
1999,12.06.2020,Startup,Npath,Woody Curd,Medium
2011,21.04.2020,Startup,Skidoo,Iosep Lilleyman,High
2004,18.07.2020,Corporate,Avavee,Godart Reynard,Medium
2011,05.04.2020,Corporate,Leenti,Beniamino Yallop,Low
1997,19.08.2020,Startup,Zooveo,Sid Shalloo,Medium
2004,16.09.2020,Corporate,Avaveo,Woodrow Albury,High
1999,08.03.2020,Corporate,Edgeblab,Biddy Blackmoor,Medium
1994,03.05.2020,Startup,Fliptune,Lesly Fasset,High
2006,01.06.2020,Mid size,Buzzster,Nani Vassel,Medium
1965,15.11.2020,Startup,Eabox,Isadore Farlowe,High
1992,19.09.2020,Startup,Babbleopia,Philip McComiskie,High
1995,19.11.2020,Startup,Zazio,Rory Byrne,Low
2001,01.04.2020,Startup,Skibox,Larine Glavis,Low
2002,18.08.2020,Corporate,Trudoo,Lolly Ervin,High
2004,16.11.2020,Mid size,Quamba,Oralla Ducker,Low
1986,13.04.2020,Corporate,Ntags,Tabby Hovee,Low
2009,11.04.2020,Corporate,Zoonder,Rivy Gaggen,Low
2000,20.07.2020,Startup,Innojam,Sly Kenforth,Low
2001,17.11.2020,Mid size,Gabcube,Evangelia Coard,Medium
2006,08.04.2020,Startup,Topicstorm,Keefer Lampert,Low
2008,15.06.2020,Mid size,Eabox,Hardy Betje,High
1992,22.11.2020,Startup,Katz,Neilla Cardello,Low
2010,30.03.2020,Mid size,Skajo,Arte Matchett,Low
2012,14.08.2020,Startup,Mycat,Rosabelle Lindenbluth,Medium
1995,20.07.2020,Mid size,Yombu,Betty Trewartha,High
2000,12.04.2020,Mid size,Quatz,Noelle Abrahamoff,High
2011,09.07.2020,Startup,Roomm,Gwenore Screech,High
2005,07.04.2020,Startup,Aivee,Hercule Spradbery,Low
2000,01.08.2020,Startup,Mynte,Sammy Antognetti,Medium
1999,10.08.2020,Startup,Edgeblab,Doti Jojic,High
2009,23.10.2020,Corporate,Yodoo,Holden Brevetor,Medium
1996,15.04.2020,Mid size,Gabtype,Ervin Godsell,Medium
2007,19.11.2020,Startup,Jaxbean,Dominik Daudray,Medium
1995,01.05.2020,Mid size,Yoveo,Skip Illsley,Low
2006,09.04.2020,Corporate,Tazz,Shaylah Woodyear,High
2002,31.07.2020,Mid size,Twitterbridge,Regina Yoxen,Low
2007,31.05.2020,Mid size,Zoozzy,Yorgos Grazier,Medium
2007,21.09.2020,Mid size,Fanoodle,Delia Petchell,High
2011,12.11.2020,Corporate,Roomm,Gregory Coleborn,High
2009,01.10.2020,Corporate,Thoughtblab,Harold Houseman,High
1988,09.05.2020,Mid size,Dabtype,Burk Cannicott,Low
1984,06.08.2020,Corporate,Jabbersphere,Reeba Costi,Medium
